Block state | Channel name - (Channel link) Description (or other description, comma and Channel Link)
// --- | --- - (---) --- // A ==================================================
✗ | John Flora							 - Fake video dark web fishes (wont be added because other videos not really a fake video, channel/UCPx3SVYin7OZ4JGVkRjpWbg)
✗ | Moe Sargi								 - First 3AM video (c/moesargi, why this isnt blocked? it's not fake (idk but i dont really check their videos), more of a "MindSeedTV" style (looking from thumbnail) and its less-clickbaity)
+ | 1 MILLION Dance Studio	 - (1MILLIONDanceStudioofficial) might be one of the channel that owns the video that contains 'Hey Mama' in the title?
+ | 5 Minute Crafts					 - (c/5MinuteCraftsYouTube) Copycat Troom Troom
+ | AldosWorld							 - The most childish youtuber
+ | _alex_									 - (channel/UCuHJPgZ0N3AHaFT4Hk4g09A) Gachapom
+ | Adventure								 - (channel/UCwuSAGL3vknuXtPRPrXXkTA) Bunch of fake videos
+ | ALICE SPY NINJAS AT 3AM	 - (channel/UCqI5bEWJUWr9TJ3vv4xNHwg) you know from the names...
+ | AlsoTom									 - (channel/UCV2R9AGE3NolRYLwvHxJ6Ig) 1 Amogus + 1 Fortnite Live Scam (please report his videos so those live scam could be taken down)
+ | Aphmau									 - Clickbait minecraft stuff (stumbled upon randomly, /AphmauGaming).
+ | Armaani									 - (channel/UC7Q0wqZTGBFl8a1TejyiVtw) Fornite pm
+ | [Blackpink,BTS]					 - stupid corean p00p.
+ | BoostyPop								 - (channel/UCrsiAD8zDTqtRdSeuxy5VxA) Fornite scam.
+ | BraniBot								 - (channel/UCvgQ-RRIAoWXfgnRH_15O8w) Fortnite Clickbait
+ | Brani										 - (channel/UCCoGLAH4FPWMxNfHDYGGjuA) Fortnite Clickbait (i heard that the owner apologizes on his doing, kinda...)
+ | Braso										 - (c/Lanza00) Siphoning views (clickbait) off of someone@s death to make money.
+ | Cam Casey								 - (c/TheMiniatureRanch) worst yt short
+ | Carlaylee HD						 - CarlayleeHD nonsense (c/Carlaylee).
+ | Carlaylee HD Gaming			 - CarlayleeHD nonsense (channel/UC7t7rlZ0nMsSmDPWJm3J0Zw).
+ | Carlaylee Hd Shorts			 - CarlayleeHD nonsense (channel/UCGxymjcbIoObYBJ7eNf9MHw).
+ | Carlie HD								 - CarlayleeHD nonsense (c/CarlieHD).
+ | Carter Sharer						 - (c/cartersharer)
+ | Chamelleo								 - (channel/UChEjcIrV2nyglHNlaBiwWeA) clickbait using other channel
+ | Chelcie Lynn						 - (channel/UCgyoQGRhGeyrUKcQaHKT0Zg) Fetched from RossSmith featured channel (might be considered to block later...)
+ | ClewFix									 - (channel/UCGHVMWyTjDCBXg2-Y49aZCg) Weird Sexual/Fortnite youtuber
+ | Clouds									 - (channel/UC5d0de51vIZzB7YEFiKUhvA) Sexual GF Fortnite video
+ | CocoMelon								 - childish stuffs there
+ | Coin										 - (c/CoinMinecraftFunnyAnimation) Terrible & disgusting Minecraft animation channel
+ | Collins Key							 - (user/CollinsKey) Pranky stuffs
+ | CommunicGaming (CG)			 - (channel/UCazPGMOd9uC6lEx6FlnteWg) Fake clickbait fornite video
+ | Cracky									 - (channel/UC4WxQSBRG1wPIndKV_psLSw) generic compilation and fake video
+ | Crypto NWO							 - Dark web usual clickbait (atleast at the time of writing..., c/CryptoNWO)
+ | Cursed Urban						 - (c/CursedUrban) Dark web usual clickbait
+ | Daniel Chin							 - (channel/UCAXQkLCae-nTwU0d6LgqP2Q,channel/UCIgSeOL-x23Iedm8lOo2zZw) P*rn Minecraft animation
+ | DavidsTV								 - (c/DavidsTV) clickbait, and ofcourse the glorious huggy wuggy clickbait.
+ | Dhar Mann								 - (c/DharMannOfficial) looks like a clickbait fake video thingy
+ | Doal										 - fake free Robux streamer, and YouTube Shorts spam.
+ | Dominic Schmidt					 - (channel/UC3cjo_8Q5lOMdmpfPo1wAag) Eww, you dont want to ever see this!
+ | Doritos Reaction				 - (c/DoritosReaction) 3AM Clickbait
+ | Eleven gacha						 - (channel/UCHeqy-9NMZvl43qP3T7Ry5g) Gachapom
+ | elisocray								 - nasty piece of 0!t
+ | emilee is daddy					 - Weird Sexual/Fortnite youtuber
+ | Eystreem								 - (c/eystreem) minecraft clickbait + ytshorts spam
+ | Feedback King						 - (c/Feedback99) Worst Animation
+ | Foodistzen							 - (channel/UCXd8ukxwU7vDe5utwoiJsWA) Israeli-dajjal people that do really bad stuff (incl. bullying someone, w/ some symbolism shiit).
+ | Fresh Roblox						 - (channel/UCDhnHdwExo-9YMS7ATvb1RA) part of LuTuTu
+ | Game Master Network			 - (channel/UCX-EPC5_NsFmRFkfzTFaP9Q_) combination of bad youtubers
